burstCount,accX_mg,accY_mg,accZ_mg,ColorSensRed_cnt,ColorSensGreen_cnt,ColorSensBlue_cnt,ColorSensIR_cnt
0,31,94,976,,,,
0,31,94,976,,,,
0,31,94,976,,,,
0,31,94,945,,,,
0,0,63,976,,,,
0,63,63,945,,,,
0,31,94,945,,,,
0,0,63,976,,,,
0,0,94,945,,,,
0,94,31,976,,,,
0,31,94,945,,,,
0,0,94,945,,,,
0,31,94,945,,,,
0,31,94,945,,,,
0,31,63,976,,,,
0,0,94,976,,,,
0,0,63,976,,,,
0,0,63,976,,,,
0,0,94,976,,,,
0,31,63,976,,,,
0,31,94,976,,,,
0,0,94,945,,,,
0,31,63,976,,,,
0,0,31,976,,,,
0,94,94,945,,,,
0,31,94,976,,,,
0,31,63,976,,,,
0,0,94,976,,,,
0,0,94,976,,,,
0,0,94,976,,,,
0,0,63,976,,,,
0,31,94,976,,,,
0,31,94,945,,,,
0,31,94,945,,,,
0,0,94,945,,,,
0,0,94,976,,,,
0,0,63,945,,,,
0,31,63,976,,,,
0,0,94,976,,,,
0,0,63,976,,,,
0,63,63,945,,,,
0,0,94,976,,,,
0,63,94,976,,,,
0,126,63,945,,,,
0,0,126,976,,,,
0,-94,94,945,,,,
0,-63,94,945,,,,
0,31,63,976,,,,
0,31,94,945,,,,
0,-31,126,976,,,,
0,-63,94,945,,,,
0,-31,94,976,,,,
0,-31,63,1008,,,,
0,0,94,976,,,,
0,-31,94,945,,,,
0,0,94,945,,,,
0,0,94,945,,,,
0,31,63,945,,,,
0,-31,94,945,,,,
0,-31,94,945,,,,
0,-31,94,976,,,,
0,-31,126,945,,,,
0,-31,94,945,,,,
0,63,63,976,,,,
0,-31,63,976,,,,
0,-31,94,976,,,,
0,0,94,945,,,,
0,0,94,976,,,,
0,-31,94,945,,,,
0,0,63,976,,,,
0,0,63,976,,,,
0,0,94,945,,,,
0,0,94,945,,,,
0,31,94,945,,,,
0,0,94,976,,,,
0,-31,94,976,,,,
0,0,63,976,,,,
0,31,94,976,,,,
0,0,63,976,,,,
0,0,94,945,,,,
0,0,94,945,,,,
0,0,94,945,,,,
0,0,94,945,,,,
0,0,63,945,,,,
0,0,94,945,,,,
0,0,94,945,,,,
0,31,94,976,,,,
0,0,94,976,,,,
0,-31,63,976,,,,
0,0,94,976,,,,
0,0,63,945,,,,
0,0,94,945,,,,
0,31,94,945,,,,
0,0,94,976,,,,
0,31,63,976,,,,
0,0,94,945,,,,
0,0,94,976,,,,
0,0,94,945,,,,
0,0,94,945,,,,
0,31,94,976,,,,
0,0,63,976,,,,
0,0,63,976,,,,
0,0,63,976,,,,
0,0,94,976,,,,
0,0,94,945,,,,
0,0,63,945,,,,
0,0,94,976,,,,
0,0,63,976,,,,
0,0,63,976,,,,
0,0,94,945,,,,
0,0,63,976,,,,
0,0,63,945,,,,
0,0,94,945,,,,
0,0,63,976,,,,
0,0,63,976,,,,
0,0,63,976,,,,
0,-31,94,976,,,,
0,0,94,945,,,,
0,0,94,976,,,,
0,31,63,976,,,,
0,0,63,976,,,,
0,-31,94,976,,,,
0,0,94,945,,,,
0,0,63,976,,,,
0,0,94,976,,,,
0,0,63,976,,,,
0,-31,63,976,,,,
0,0,63,976,,,,
0,-31,94,976,,,,
0,0,63,945,,,,
0,0,94,945,,,,
0,0,94,945,,,,
0,0,63,976,,,,
0,0,63,945,,,,
0,0,63,976,,,,
0,0,63,976,,,,
0,0,63,976,,,,
0,0,63,976,,,,
0,0,63,945,,,,
0,-31,63,945,,,,
0,0,63,976,,,,
0,0,63,976,,,,
0,0,63,976,,,,
