Acc_x	Acc_y	Acc_z	Time	Total secs	
-0.25	-0.968994	0.0307617	03:29:15.720	12555	
-0.218994	-1	0	03:29:15.759	12555	
-0.218994	-1	0.0307617	03:29:15.800	12555	
-0.218994	-0.968994	0	03:29:15.840	12555	
-0.25	-1	0	03:29:15.880	12555	
-0.25	-1	0.0307617	03:29:15.920	12555	
-0.218994	-1	0.0307617	03:29:15.960	12555	
-0.218994	-1	0.0307617	03:29:16.000	12556	
-0.219971	-1	0.0307617	03:29:16.040	12556	
-0.247803	-0.997803	0.0288086	03:29:16.080	12556	
-0.218994	-0.9729	0	03:29:16.120	12556	
-0.223877	-1	0	03:29:16.160	12556	
-0.25	-0.993896	0.00585938	03:29:16.200	12556	
-0.24292	-0.976807	0.0239258	03:29:16.240	12556	
-0.218994	-0.991943	0	03:29:16.280	12556	
-0.22876	-0.97876	0.00976562	03:29:16.320	12556	
-0.23877	-1	0.0197754	03:29:16.360	12556	
-0.230957	-1	0	03:29:16.400	12556	
-0.25	-1	0	03:29:16.440	12556	
-0.25	-1	0	03:29:16.480	12556	
-0.25	-0.983887	0	03:29:16.520	12556	
-0.25	-0.986816	0.0178223	03:29:16.560	12556	
-0.230957	-0.981934	0.0307617	03:29:16.600	12556	
-0.23877	-0.968994	0.0109863	03:29:16.640	12556	
-0.25	-0.98999	0.0209961	03:29:16.680	12556	
-0.227783	-1	0.00878906	03:29:16.720	12556	
-0.218994	-0.976807	0.0239258	03:29:16.760	12556	
-0.218994	-0.968994	0.00585938	03:29:16.800	12556	
-0.244873	-0.994873	0.0258789	03:29:16.840	12556	
-0.25	-1	0.00390625	03:29:16.880	12556	
-0.220947	-1	0	03:29:16.920	12556	
-0.25	-1	0	03:29:16.960	12556	
-0.25	-1	0.0307617	03:29:17.000	12557	
-0.218994	-0.968994	0.0307617	03:29:17.040	12557	
-0.218994	-1	0.0307617	03:29:17.080	12557	
-0.25	-0.968994	0.0307617	03:29:17.120	12557	
-0.218994	-0.968994	0	03:29:17.160	12557	
